OBJECTID,PC4,Aantal_adreslocaties,Aantal_multiparts,SHAPE_Length,SHAPE_Area
1,1011,7590,1,0.0573403369875144,0.000128617755776309
2,1012,9415,1,0.0605100895991187,0.000153143710754619
3,1013,14935,1,0.183162149519896,0.00064754045850093
4,1014,3089,3,0.171263938049273,0.000401993538291353
5,1015,11339,1,0.0536992489555725,9.97103532208089e-05
6,1016,9401,2,0.0509561329922431,0.000106080821078734
7,1017,11012,1,0.0630093435526314,0.000172002415629351
8,1018,14809,1,0.0903194095260303,0.000283843201302225
9,1019,11897,1,0.137747765614439,0.000512980866082658
10,1021,4026,1,0.0832823844806447,0.00016619863445431
11,1022,2998,3,0.134390853306983,0.000197863467016363
12,1023,2379,1,0.108690853077357,0.000239681150283791
13,1024,6606,1,0.0740085397169328,0.000199406602140103
14,1025,9294,1,0.131836647351249,0.000307841802310231
15,1026,243,2,0.18677314455647,0.000463071893932956
16,1027,241,1,0.232861808714375,0.00130080818979717
17,1028,296,1,0.252072346876288,0.00180661313043371
18,1031,6511,1,0.0733007822385395,0.000239820464407377
19,1032,3859,1,0.0682862794486455,0.000184350831664743
20,1033,9232,1,0.112555055042515,0.000499356655128567
21,1034,6934,1,0.0889510721577884,0.00028935524128023
22,1035,4588,1,0.138228353678969,0.000391276613099922
23,1036,874,1,0.0250599227114055,3.92061329852921e-05
24,1037,66,1,0.0634969547378719,0.000172560821859123
25,1041,142,1,0.10383395459186,0.000447175229352601
26,1042,222,1,0.113809837662104,0.000286123468735779
27,1043,2467,1,0.132505560312723,0.000437811866614613
28,1044,38,1,0.119054743432164,0.000505306396105163
29,1045,156,2,0.203350889674488,0.000799036757873193
30,1046,721,1,0.162620147163121,0.000509524176841044
31,1047,269,2,0.239832161058245,0.00141160590251769
32,1051,8576,1,0.054676904043549,0.000125936905538069
33,1052,7920,1,0.0603718455590719,8.02185985355921e-05
34,1053,11449,1,0.0509655975045958,9.28316110214648e-05
35,1054,11495,1,0.0741562168835561,0.000119396409699482
36,1055,12124,3,0.0780761880731436,0.000168571373440955
37,1056,10450,1,0.0692180364566593,0.000124622278249978
38,1057,9752,1,0.0564537205057219,0.000128774980299894
39,1058,8914,1,0.0627202785051829,0.00015961707179785
40,1059,4599,1,0.0491210287854739,0.000102884172998205
41,1060,3851,1,0.153925429136173,0.000212338298919505
42,1061,7654,1,0.0732835348216518,0.00015093746415766
43,1062,9625,1,0.0841607789532743,0.000198435267509625
44,1063,6247,2,0.0767928045548083,0.000176325551554725
45,1064,8409,1,0.103488636006981,0.000396275519061288
46,1065,6687,1,0.0710724051252278,0.000213748385232826
47,1066,8937,2,0.145203188996607,0.000862556430929897
48,1067,8337,2,0.205714416563968,0.00120702393598646
49,1068,10076,1,0.0827835383822911,0.000239563727952021
50,1069,11789,3,0.159373292992557,0.000306486437700681
51,1071,8180,3,0.0744003075334608,0.000179191552077285
52,1072,9744,4,0.0463867877227975,8.03688885348234e-05
53,1073,9008,3,0.0459644865097676,7.57870309657435e-05
54,1074,5456,1,0.0352942626115009,5.65096243391884e-05
55,1075,6433,1,0.070125619350724,0.000139321307951063
56,1076,6842,1,0.0695477826181064,0.000186131982804752
57,1077,5714,1,0.0678787426976838,0.000231416819361945
58,1078,8210,2,0.0818315808378205,0.000142011677386878
59,1079,9162,1,0.0649012573634643,0.00020706386376121
60,1081,3965,1,0.144204315009824,0.000401168839125446
61,1082,8816,1,0.0768571805282433,0.000191465462361623
